20100101 ;54
20100102 ;32
20100103 ;91
20100104 ;26
20100105 ;82
20100106 ;50
20100107 ;71
20100108 ;26
20100109 ;95
20100110 ;45
20100111 ;43
20100112 ;02
20100113 ;25
20100114 ;04
20100115 ;11
20100116 ;16
20100117 ;15
20100118 ;82
20100119 ;24
20100120 ;91
20100121 ;48
20100122 ;36
20100123 ;65
20100124 ;63
20100125 ;24
20100126 ;04
20100127 ;47
20100128 ;96
20100129 ;70
20100130 ;30
20100131 ;54


20100901 ;06 
20100902 ;62 
20100903 ;39 
20100904 ;02 
20100905 ;60 
20100906 ;36 
20100907 ;99 
20100908 ;08 
20100909 ;73 
20100910 ;07 
20100911 ;20 
20100912 ;00 
20100913 ;72 
20100914 ;58 
20100915 ;05 
20100916 ;92 
20100917 ;45 
20100918 ;00 
20100919 ;72 
20100920 ;65 
20100921 ;92 
20100922 ;24 
20100923 ;87 
20100924 ;93 
20100925 ;66 
20100926 ;19 
20100927 ;40 
20100928 ;97 
20100929 ;92 
20100930 ;64 
20101001 ;23 
20101002 ;89 
20101003 ;40 
20101004 ;26 
20101005 ;11 
20101006 ;79 
20101007 ;37 
20101008 ;08 
20101009 ;79 
20101010 ;21 
20101011 ;33 
20101012 ;78 
20101013 ;52 
20101014 ;29 
20101015 ;65 
20101016 ;58 
20101017 ;17 
20101018 ;83 
20101019 ;37 
20101020 ;49 
20101021 ;58 
20101022 ;43 
20101023 ;93 
20101024 ;55 
20101025 ;69 
20101026 ;95 
20101027 ;11 
20101028 ;31 
20101029 ;39 
20101030 ;54 
20101031 ;27 
20101101 ;99 
20101102 ;07 
20101103 ;96 
20101104 ;37 
20101105 ;83 
20101106 ;10 
20101107 ;15 
20101108 ;18 
20101109 ;72 
20101110 ;17 
20101111 ;10 
20101112 ;13 
20101113 ;62 
20101114 ;36 
20101115 ;49 
20101116 ;63 
20101117 ;31 
20101118 ;31 
20101119 ;80 
20101120 ;52 
20101121 ;73 
20101122 ;68 
20101123 ;08 
20101124 ;98 
20101125 ;43 
20101126 ;43 
20101127 ;51 
20101128 ;08 
20101129 ;41 
20101130 ;97 
20101201 ;15 
20101202 ;06 
20101203 ;13 
20101204 ;53 
20101205 ;15 
20101206 ;30 
20101207 ;15 
20101208 ;54 
20101209 ;58 
20101210 ;39 
20101211 ;69 
20101212 ;57 
20101213 ;59 
20101214 ;94 
20101215 ;78 
20101216 ;11 
20101217 ;09 
20101218 ;63 
20101219 ;02 
20101220 ;03 
20101221 ;41 
20101222 ;93 
20101223 ;95 
20101224 ;32 
20101225 ;45 
20101226 ;90 
20101227 ;10 
20101228 ;62 
20101229 ;24 
20101230 ;17 
20101231 ;70 
20110101 ;28 
20110102 ;27 
20110103 ;24 
20110104 ;82 
20110105 ;42 
20110106 ;03 
20110107 ;07 
20110108 ;65 
20110109 ;94 
20110110 ;41 
20110111 ;85 
20110112 ;25 
20110113 ;22 
20110114 ;70 
20110115 ;30 
20110116 ;43 
20110117 ;88 
20110118 ;35 
20110119 ;17 
20110120 ;85 
20110121 ;90 
20110122 ;45 
20110123 ;57 
20110124 ;13 
20110125 ;90 
20110126 ;66 
20110127 ;71 
20110128 ;51 
20110129 ;89 
20110130 ;06 
20110131 ;98 
20110201 ;56 
20110206 ;26 
20110207 ;58 
20110208 ;23 
20110209 ;99 
20110210 ;00 
20110211 ;57 
20110212 ;50 
20110213 ;26 
20110214 ;23 
20110215 ;38 
20110216 ;05 
20110217 ;76 
20110218 ;83 
20110219 ;70 
20110220 ;99 
20110221 ;38 
20110222 ;98 
20110223 ;23 
20110224 ;02 
20110225 ;01 
20110226 ;66 
20110227 ;17 
20110228 ;88 
20110301 ;22 
20110302 ;57 
20110303 ;27 
20110304 ;86 
20110305 ;91 
20110306 ;65 
20110307 ;77 
20110308 ;41 
20110309 ;02 
20110310 ;65 
20110311 ;85 
20110312 ;91 
20110313 ;27 
20110314 ;49 
20110315 ;98 
20110316 ;39 
20110317 ;85 
20110318 ;57 
20110319 ;22 
20110320 ;39 
20110321 ;22 
20110322 ;06 
20110323 ;37 
20110324 ;36 
20110325 ;93 
20110326 ;19 
20110327 ;49 
20110328 ;18 
20110329 ;97 
20110330 ;73 
20110331 ;49 
20110401 ;71 
20110402 ;95 
20110403 ;85 
20110404 ;05 
20110405 ;33 
20110406 ;60 
20110407 ;70 
20110408 ;33 
20110409 ;70 
20110410 ;20 
20110411 ;64 
20110412 ;61 
20110413 ;95 
20110414 ;80 
20110415 ;42 
20110416 ;55 
20110417 ;70 
20110418 ;29 
20110419 ;31 
20110420 ;91 
20110421 ;66 
20110422 ;36 
20110423 ;08 
20110424 ;42 
20110425 ;88 
20110426 ;42 
20110427 ;56 
20110428 ;37 
20110429 ;91 
20110430 ;83 
20110501 ;82 
20110502 ;30 
20110503 ;19 
20110504 ;71 
20110505 ;94 
20110506 ;32 
20110507 ;30 
20110508 ;93 
20110509 ;49 
20110510 ;69 
20110511 ;09 
20110512 ;01 
20110513 ;13 
20110514 ;24 
20110515 ;17 
20110516 ;34 
20110517 ;75 
20110518 ;21 
20110519 ;60 
20110520 ;96 
20110521 ;56 
20110522 ;56 
20110523 ;80 
20110524 ;98 
20110525 ;44 
20110526 ;23 
20110527 ;70 
20110528 ;95 
20110529 ;14 
20110530 ;94 
20110531 ;66 
20110601 ;13 
20110602 ;41 
20110603 ;64 
20110604 ;53 
20110605 ;10 
20110606 ;42 
20110607 ;38 
20110608 ;21 
20110609 ;68 
20110610 ;05 
20110611 ;62 
20110612 ;52 
20110613 ;94 
20110614 ;51 
20110615 ;44 
