20111001 ;11;40;13;10;10;20;23;85;62;48;84;96;47;44;65;54;52;24;19;67;85;30;76;33;96;48;67 
20111002 ;31;73;27;92;42;49;71;05;42;01;22;71;90;20;88;00;26;75;78;00;22;67;37;88;92;70;91 
20111003 ;27;66;42;43;37;06;79;03;26;65;51;30;13;55;59;09;01;17;98;51;65;63;31;25;97;81;09 
20111004 ;65;51;85;01;02;15;79;17;49;47;17;96;47;47;33;05;35;94;08;86;13;21;91;52;32;10;09 
20111005 ;53;04;48;19;66;36;05;56;37;36;18;13;16;78;99;85;27;59;66;67;08;79;39;55;83;92;63 
20111006 ;28;73;75;86;14;28;61;54;08;78;40;47;25;84;29;36;27;18;07;80;96;61;53;60;65;42;98 
20111007 ;36;72;05;87;51;14;02;56;84;17;75;09;81;12;55;88;10;25;33;40;64;64;07;18;96;07;05 
20111008 ;36;14;22;36;34;16;20;57;53;69;64;89;95;65;61;18;91;97;54;98;99;10;63;75;37;80;54 
20111009 ;89;60;23;91;31;10;22;32;38;61;80;32;26;32;68;80;88;17;89;37;94;64;59;90;78;76;19 
20111010 ;82;36;52;43;25;32;34;21;83;25;89;85;39;96;29;88;53;40;18;06;74;11;14;98;27;79;92 
20111011 ;36;89;64;82;23;54;42;27;59;65;63;72;38;73;00;02;87;76;84;90;01;08;14;26;10;35;44 
20111012 ;17;99;97;07;49;59;32;24;37;77;90;84;47;89;68;93;61;45;67;81;98;21;83;94;52;48;57 
20111013 ;34;21;13;74;94;14;96;98;74;06;09;45;16;22;11;02;69;16;24;83;50;80;98;67;48;07;78 
20111014 ;75;48;44;33;25;49;11;79;46;78;42;31;00;74;96;09;04;92;37;71;87;84;97;10;43;40;41 
20111015 ;03;77;65;87;61;01;38;76;29;27;06;99;23;29;57;11;31;97;81;39;02;56;63;59;06;82;50 
20111016 ;22;98;26;11;11;65;32;88;96;39;81;72;66;21;20;78;86;98;96;48;34;22;81;95;80;20;56 
20111017 ;56;55;04;39;06;50;48;38;48;41;77;04;69;21;08;25;01;98;83;59;54;45;67;79;92;77;34 
20111018 ;96;78;87;18;11;32;61;14;60;21;44;21;67;11;78;37;03;73;44;34;95;77;72;59;98;54;60 
20111019 ;60;15;20;48;64;25;41;16;73;59;76;34;53;50;91;26;50;07;74;68;26;10;86;57;64;10;98 
20111020 ;05;33;22;50;10;58;28;41;41;56;82;25;06;95;79;97;39;63;20;76;63;10;92;84;20;13;78 
20111021 ;03;80;34;58;52;50;25;65;72;41;30;57;89;53;45;03;45;65;41;56;38;67;55;28;53;07;04 
20111022 ;72;92;32;61;18;68;81;43;49;06;68;40;67;59;20;07;10;37;07;03;88;28;95;90;44;87;56 
20111023 ;68;01;24;80;30;48;79;05;53;18;22;86;98;77;05;92;29;53;87;44;53;63;17;27;37;40;23 
20111024 ;89;13;59;01;10;13;33;67;94;03;79;89;28;41;56;64;68;50;25;01;05;55;45;44;70;51;77 
20111025 ;60;16;33;18;41;82;05;90;41;85;28;94;23;91;13;83;25;93;10;36;48;83;67;42;89;04;17 
20111026 ;44;29;07;07;21;48;51;58;75;80;54;49;40;16;27;90;78;53;24;11;42;90;91;78;35;29;97 
20111027 ;11;35;06;76;01;53;77;93;74;60;54;80;06;23;79;12;12;21;38;68;41;60;81;81;94;73;45 
20111028 ;36;98;76;29;58;23;65;88;45;17;55;34;01;59;62;92;92;87;28;96;02;89;65;35;86;96;44 
20111029 ;51;14;98;71;44;56;21;58;64;83;46;92;57;78;33;56;24;10;00;90;60;78;74;85;68;31;03 
20111030 ;70;44;91;42;59;57;73;36;05;61;00;65;40;43;34;12;72;49;45;33;29;92;32;99;09;95;50 
20111031 ;64;88;37;73;01;56;75;96;85;92;70;42;19;14;77;70;33;92;57;79;77;06;68;63;95;55;59 
20111101 ;32;97;22;59;44;88;70;62;66;78;81;83;85;30;51;60;52;55;24;73;98;98;07;81;48;77;95 
20111102 ;42;34;93;23;98;79;73;46;68;81;98;97;90;71;25;03;90;99;55;09;27;82;06;20;83;00;76 
20111103 ;01;39;89;20;37;35;36;42;19;42;77;44;33;56;31;81;08;80;56;65;87;27;98;92;24;88;20 
20111104 ;01;56;37;26;78;11;96;29;11;44;77;12;18;91;48;97;28;23;33;97;28;95;72;70;61;38;25 
20111105 ;12;00;80;53;00;65;47;48;85;31;25;93;02;41;79;26;55;97;03;46;89;66;79;09;66;67;18 
20111106 ;04;00;57;44;58;71;12;27;07;83;79;40;77;53;65;53;85;79;20;84;52;40;93;42;26;99;05 
20111107 ;69;69;42;34;53;96;58;41;88;97;09;61;62;59;44;09;21;22;77;78;98;50;59;19;87;01;65 
20111108 ;67;38;98;46;45;72;89;31;89;40;49;80;53;71;57;09;42;88;71;90;81;81;58;55;11;25;52 
20111109 ;62;16;91;28;86;05;80;41;48;16;33;54;39;72;57;48;43;62;68;59;40;10;35;06;08;57;78 
20111110 ;56;97;82;52;49;61;08;20;34;75;38;77;94;53;99;90;53;68;11;84;64;41;93;85;54;03;30 
20111111 ;46;81;21;31;72;61;60;63;94;01;49;77;27;04;01;88;51;95;28;43;49;98;81;51;96;67;31 
20111112 ;04;41;26;51;49;56;47;81;17;14;32;32;77;79;15;06;52;01;36;74;91;53;13;78;36;84;69 
20111113 ;43;97;81;10;30;59;87;28;92;98;60;75;04;76;33;10;88;67;01;55;97;28;87;05;30;94;21 
20111114 ;18;96;55;68;32;98;53;18;72;70;23;15;07;21;16;11;74;89;65;80;69;29;03;78;76;80;05 
20111115 ;03;54;43;17;86;08;21;32;86;37;57;04;52;61;65;15;93;47;34;02;55;63;97;44;28;90;58 
20111116 ;54;06;66;54;34;48;52;46;98;14;47;36;85;51;38;58;59;95;80;16;75;90;91;52;07;69;61 
20111117 ;16;70;96;30;43;72;42;99;47;58;28;38;45;01;50;49;08;67;64;44;55;37;26;03;20;10;69 
20111118 ;23;41;24;83;05;19;57;28;07;38;34;06;94;12;14;69;49;96;47;35;65;82;41;93;59;78;55 
20111119 ;55;36;56;34;03;40;74;85;62;52;66;20;03;76;87;61;38;58;97;66;73;45;06;73;56;08;79 
20111120 ;04;38;29;63;02;95;72;92;19;08;17;69;33;34;67;70;16;56;01;33;66;61;61;79;89;84;40 
20111121 ;97;68;03;12;11;78;22;20;21;01;07;80;83;77;70;52;73;16;78;49;58;21;07;10;09;82;80 
20111122 ;25;16;58;23;84;82;00;84;17;62;10;38;12;72;04;10;54;19;44;91;37;31;47;98;81;38;90 
