20140501 ;94
20140502 ;52
20140503 ;71
20140504 ;09
20140505 ;47
20140506 ;48
20140507 ;27
20140508 ;85
20140509 ;62
20140510 ;42
20140511 ;77
20140512 ;03
20140513 ;85
20140514 ;11
20140515 ;13
20140516 ;53
20140517 ;99
20140518 ;47
20140519 ;30
20140520 ;00
20140521 ;96
20140522 ;29
20140523 ;96
20140524 ;54
20140525 ;54
20140526 ;45
20140527 ;66
20140528 ;97
20140529 ;14
20140530 ;22
20140531 ;70
20140601 ;33
20140602 ;18
20140603 ;06
20140604 ;11
20140605 ;98
20140606 ;41
20140607 ;39
20140608 ;79
20140609 ;60
20140610 ;89
20140611 ;51
20140612 ;52
20140613 ;85
20140614 ;39
20140615 ;39
20140616 ;38
20140617 ;63
20140618 ;43
20140619 ;44
20140620 ;60
20140621 ;12
20140622 ;38
20140623 ;42
20140624 ;85
20140625 ;57
20140626 ;94
20140627 ;40
20140628 ;40
20140629 ;31
20140630 ;44 
